Top20,Top50,Top100,dataset,method
14,19,19,NCI-test,ML_voting
15,23,28,HiTIDE,ML_voting
13,24,28,TESLA,ML_voting
42,66,75,TOTAL,ML_voting
10,16,20,NCI-test,RNN_MP
16,22,33,HiTIDE,RNN_MP
24,31,34,TESLA,RNN_MP
50,69,87,TOTAL,RNN_MP
11,18,20,NCI-test,RNN_NP
14,24,34,HiTIDE,RNN_NP
27,33,34,TESLA,RNN_NP
52,75,88,TOTAL,RNN_NP
12,18,20,NCI-test,RNN_MB
14,23,33,HiTIDE,RNN_MB
28,31,34,TESLA,RNN_MB
54,72,87,TOTAL,RNN_MB
11,17,19,NCI-test,RNN_NB
16,29,37,HiTIDE,RNN_NB
28,34,34,TESLA,RNN_NB
55,80,90,TOTAL,RNN_NB
14,19,20,NCI-test,RNN_voting
16,26,36,HiTIDE,RNN_voting
28,32,34,TESLA,RNN_voting
58,77,90,TOTAL,RNN_voting
